Instance,Paper_Distance,Paper_Vehicles,Paper_Runtime,Paper_Routes
CVRP20_0000,8.6176,4,0.3728,"[[0, 9, 1, 10, 17, 11, 20, 0], [0, 4, 13, 6, 18, 16, 7, 0], [0, 15, 5, 14, 12, 2, 8, 0], [0, 19, 3, 0]]"
CVRP20_0001,10.067,4,0.0473,"[[0, 9, 18, 14, 1, 15, 7, 0], [0, 4, 2, 20, 10, 0], [0, 13, 19, 11, 6, 5, 12, 0], [0, 8, 16, 3, 17, 0]]"
CVRP20_0002,6.6941,6,0.0546,"[[0, 8, 13, 11, 5, 2, 9, 0], [0, 17, 1, 12, 3, 0], [0, 6, 16, 7, 18, 20, 0], [0, 19, 4, 15, 0], [0, 14, 0], [0, 10, 0]]"
CVRP20_0003,8.8854,6,0.0505,"[[0, 16, 8, 6, 10, 19, 2, 17, 18, 0], [0, 20, 3, 7, 4, 0], [0, 14, 13, 12, 1, 11, 0], [0, 9, 0], [0, 15, 0], [0, 5, 0]]"
CVRP20_0004,10.94,8,0.1276,"[[0, 16, 17, 1, 13, 5, 9, 0], [0, 12, 19, 20, 10, 14, 0], [0, 4, 6, 3, 11, 0], [0, 8, 0], [0, 7, 0], [0, 15, 0], [0, 2, 0], [0, 18, 0]]"
CVRP20_0005,8.4425,6,0.1555,"[[0, 4, 2, 14, 20, 1, 18, 5, 3, 0], [0, 8, 9, 11, 10, 0], [0, 12, 19, 16, 7, 15, 0], [0, 6, 0], [0, 13, 0], [0, 17, 0]]"
CVRP20_0006,11.9259,4,0.087,"[[0, 10, 1, 20, 13, 18, 9, 2, 14, 0], [0, 7, 11, 3, 4, 15, 19, 17, 16, 0], [0, 6, 12, 5, 0], [0, 8, 0]]"
CVRP20_0007,8.9165,4,0.0627,"[[0, 3, 5, 8, 14, 12, 16, 13, 15, 0], [0, 4, 17, 9, 10, 2, 0], [0, 7, 6, 19, 18, 1, 0], [0, 11, 20, 0]]"
CVRP20_0008,10.6603,3,0.0463,"[[0, 1, 7, 15, 8, 5, 19, 3, 18, 9, 12, 0], [0, 13, 11, 10, 2, 6, 20, 0], [0, 17, 16, 14, 4, 0]]"
CVRP20_0009,6.5418,4,0.0462,"[[0, 20, 10, 2, 19, 1, 12, 7, 11, 8, 6, 0], [0, 17, 4, 3, 16, 13, 9, 0], [0, 18, 14, 15, 0], [0, 5, 0]]"
CVRP20_0010,10.6819,5,0.0492,"[[0, 1, 17, 15, 13, 9, 0], [0, 12, 11, 4, 6, 20, 2, 0], [0, 3, 0], [0, 7, 8, 5, 16, 19, 14, 0], [0, 10, 18, 0]]"
CVRP20_0011,8.033,4,0.0467,"[[0, 6, 10, 11, 19, 7, 17, 20, 0], [0, 4, 3, 13, 5, 1, 8, 0], [0, 14, 18, 15, 12, 0], [0, 9, 16, 2, 0]]"
CVRP20_0012,9.2348,8,0.0549,"[[0, 3, 9, 18, 8, 12, 11, 0], [0, 10, 7, 19, 17, 5, 15, 0], [0, 4, 13, 1, 0], [0, 2, 0], [0, 14, 0], [0, 20, 0], [0, 16, 0], [0, 6, 0]]"
CVRP20_0013,10.4302,6,0.0499,"[[0, 17, 12, 13, 15, 3, 14, 1, 20, 7, 0], [0, 5, 6, 9, 16, 19, 2, 0], [0, 10, 8, 0], [0, 11, 0], [0, 4, 0], [0, 18, 0]]"
CVRP20_0014,8.385,5,0.0484,"[[0, 12, 14, 19, 16, 20, 7, 15, 0], [0, 6, 1, 5, 9, 11, 4, 3, 0], [0, 13, 8, 10, 17, 0], [0, 2, 0], [0, 18, 0]]"
CVRP20_0015,9.9236,5,0.0485,"[[0, 6, 19, 12, 11, 3, 2, 0], [0, 1, 10, 9, 14, 5, 13, 0], [0, 20, 7, 18, 17, 0], [0, 8, 15, 4, 0], [0, 16, 0]]"
CVRP20_0016,8.3252,5,0.0503,"[[0, 13, 10, 12, 2, 17, 15, 16, 5, 0], [0, 7, 9, 6, 11, 8, 14, 20, 0], [0, 18, 19, 3, 0], [0, 1, 0], [0, 4, 0]]"
CVRP20_0017,10.7131,5,0.0485,"[[0, 9, 20, 10, 15, 8, 3, 0], [0, 11, 17, 19, 5, 12, 0], [0, 6, 14, 1, 7, 18, 0], [0, 13, 2, 16, 0], [0, 4, 0]]"
CVRP20_0018,10.3083,4,0.0466,"[[0, 9, 11, 17, 7, 8, 19, 20, 6, 0], [0, 16, 15, 4, 1, 3, 0], [0, 13, 10, 14, 18, 5, 12, 0], [0, 2, 0]]"
CVRP20_0019,10.6509,4,0.0503,"[[0, 4, 10, 1, 5, 6, 17, 20, 11, 19, 0], [0, 3, 15, 12, 0], [0, 18, 8, 9, 14, 13, 0], [0, 7, 2, 16, 0]]"
