Instance,CLARKE_WRIGHT_DISTANCE,CLARKE_WRIGHT_RUNTIME_S,CLARKE_WRIGHT_VEHICLES,PAPER_RL_ATTENTION_DISTANCE,PAPER_RL_ATTENTION_RUNTIME_S,PAPER_RL_ATTENTION_VEHICLES,PROPOSED_AGIH_2OPT_DISTANCE,PROPOSED_AGIH_2OPT_RUNTIME_S,PROPOSED_AGIH_2OPT_VEHICLES,BEST_ALGORITHM
CVRP20_0000,5.7869,0.0015,4,8.6176,0.3728,4,5.7693,0.0074,4,Proposed-AGIH-2opt
CVRP20_0001,6.9152,0.001,4,10.067,0.0473,4,6.8465,0.0094,4,Proposed-AGIH-2opt
CVRP20_0002,4.7275,0.0011,4,6.6941,0.0546,6,4.674,0.0106,4,Proposed-AGIH-2opt
CVRP20_0003,6.4533,0.0012,4,8.8854,0.0505,6,6.2839,0.0079,4,Proposed-AGIH-2opt
CVRP20_0004,5.9763,0.0011,4,10.94,0.1276,8,5.9237,0.0149,4,Proposed-AGIH-2opt
CVRP20_0005,6.0229,0.0023,4,8.4425,0.1555,6,6.0229,0.007,4,Clarke-Wright
CVRP20_0006,7.0853,0.0009,3,11.9259,0.087,4,7.0294,0.0046,3,Proposed-AGIH-2opt
CVRP20_0007,5.4363,0.001,4,8.9165,0.0627,4,5.4245,0.0114,4,Proposed-AGIH-2opt
CVRP20_0008,5.9664,0.0011,3,10.6603,0.0463,3,5.8717,0.005,3,Proposed-AGIH-2opt
CVRP20_0009,5.1459,0.0011,3,6.5418,0.0462,4,5.0049,0.0059,3,Proposed-AGIH-2opt
CVRP20_0010,6.9896,0.0013,4,10.6819,0.0492,5,6.96,0.0139,4,Proposed-AGIH-2opt
CVRP20_0011,6.5904,0.0012,4,8.033,0.0467,4,6.5599,0.0065,4,Proposed-AGIH-2opt
CVRP20_0012,6.086,0.0009,4,9.2348,0.0549,8,5.856,0.0131,4,Proposed-AGIH-2opt
CVRP20_0013,5.7205,0.001,4,10.4302,0.0499,6,5.7115,0.0143,4,Proposed-AGIH-2opt
CVRP20_0014,6.2982,0.0016,4,8.385,0.0484,5,6.2751,0.0075,4,Proposed-AGIH-2opt
CVRP20_0015,7.5589,0.0015,4,9.9236,0.0485,5,7.5589,0.0073,4,Clarke-Wright
CVRP20_0016,5.3165,0.0009,4,8.3252,0.0503,5,5.2099,0.0082,4,Proposed-AGIH-2opt
CVRP20_0017,6.3903,0.0011,4,10.7131,0.0485,5,6.3903,0.0051,4,Clarke-Wright
CVRP20_0018,7.1525,0.0009,4,10.3083,0.0466,4,7.0673,0.0051,4,Proposed-AGIH-2opt
CVRP20_0019,6.8206,0.0012,4,10.6509,0.0503,4,6.8028,0.0091,4,Proposed-AGIH-2opt
