Instance,CLARKE_WRIGHT_DISTANCE,OR_TOOLS REFERENCE_DISTANCE,PROPOSED_AGIH_2OPT_DISTANCE,CLARKE_WRIGHT_VEHICLES,OR_TOOLS REFERENCE_VEHICLES,PROPOSED_AGIH_2OPT_VEHICLES,CLARKE_WRIGHT_RUNTIME,OR_TOOLS REFERENCE_RUNTIME,PROPOSED_AGIH_2OPT_RUNTIME,CLARKE_WRIGHT_GAP_VS_OR_TOOLS_PCT,OR_TOOLS REFERENCE_GAP_VS_OR_TOOLS_PCT,PROPOSED_AGIH_2OPT_GAP_VS_OR_TOOLS_PCT,BEST_PROJECT_ALGORITHM
CVRP20_0000,5.7869,5.7186,5.7693,4.0,4.0,4.0,0.0009,1.0346,0.2338,1.19,0.0,0.89,OR-Tools Reference
CVRP20_0001,6.9152,6.5933,6.8465,4.0,4.0,4.0,0.0006,1.0016,0.0175,4.88,0.0,3.84,OR-Tools Reference
CVRP20_0002,4.7275,4.6729,4.674,4.0,4.0,4.0,0.0006,1.0016,0.0216,1.17,0.0,0.02,OR-Tools Reference
CVRP20_0003,6.4533,6.1794,6.2839,4.0,4.0,4.0,0.0006,1.0013,0.0145,4.43,0.0,1.69,OR-Tools Reference
CVRP20_0004,5.9763,5.8053,5.9237,4.0,4.0,4.0,0.0011,1.0014,0.0241,2.95,0.0,2.04,OR-Tools Reference
CVRP20_0005,6.0229,5.8202,6.0229,4.0,4.0,4.0,0.0007,1.0027,0.0185,3.48,0.0,3.48,OR-Tools Reference
CVRP20_0006,7.0853,6.8225,7.0294,3.0,3.0,3.0,0.0007,1.0023,0.0173,3.85,0.0,3.03,OR-Tools Reference
CVRP20_0007,5.4363,5.3256,5.4245,4.0,4.0,4.0,0.0007,1.0017,0.0197,2.08,0.0,1.86,OR-Tools Reference
CVRP20_0008,5.9664,5.8922,5.8717,3.0,3.0,3.0,0.0006,1.0012,0.0199,1.26,0.0,-0.35,Proposed-AGIH-2opt
CVRP20_0009,5.1459,4.7109,5.0049,3.0,3.0,3.0,0.0006,1.0016,0.0173,9.23,0.0,6.24,OR-Tools Reference
CVRP20_0010,6.9896,6.6865,6.96,4.0,4.0,4.0,0.0008,1.002,0.0196,4.53,0.0,4.09,OR-Tools Reference
CVRP20_0011,6.5904,6.7066,6.5599,4.0,4.0,4.0,0.0007,1.0017,0.0235,-1.73,0.0,-2.19,Proposed-AGIH-2opt
CVRP20_0012,6.086,5.6205,5.856,4.0,4.0,4.0,0.0006,1.0015,0.0228,8.28,0.0,4.19,OR-Tools Reference
CVRP20_0013,5.7205,5.1585,5.7115,4.0,3.0,4.0,0.0006,1.0013,0.0244,10.9,0.0,10.72,OR-Tools Reference
CVRP20_0014,6.2982,5.8729,6.2751,4.0,3.0,4.0,0.0006,1.0018,0.016,7.24,0.0,6.85,OR-Tools Reference
CVRP20_0015,7.5589,7.2478,7.5589,4.0,4.0,4.0,0.0006,1.0012,0.0183,4.29,0.0,4.29,OR-Tools Reference
CVRP20_0016,5.3165,5.0482,5.2099,4.0,3.0,4.0,0.0008,1.0023,0.0227,5.31,0.0,3.2,OR-Tools Reference
CVRP20_0017,6.3903,6.3122,6.3903,4.0,4.0,4.0,0.0006,1.0019,0.0176,1.24,0.0,1.24,OR-Tools Reference
CVRP20_0018,7.1525,7.0857,7.0673,4.0,4.0,4.0,0.0006,1.0011,0.0167,0.94,0.0,-0.26,Proposed-AGIH-2opt
CVRP20_0019,6.8206,6.8028,6.8028,4.0,4.0,4.0,0.0006,1.001,0.0174,0.26,0.0,-0.0,Proposed-AGIH-2opt
